id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	political_hits	notes
LAFAD-001	李敖发电集	001.1999年12月1日.txt	17	17	人死为大	传统俗语	中国俗语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-002	李敖发电集	003.1999年12月3日.txt	17	17	烦恼皆因强出头	传统俗语	传统老话	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：虽出现在现代政论段落中，但 quote_text 本体不含现代政治判断。
LAFAD-003	李敖发电集	003.1999年12月3日.txt	17	17	既不能令、又不受命	儒家文句	《孟子》文句	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：古典文句本体可独立成立，未收现代政治判断部分。
LAFAD-004	李敖发电集	008.1999年12月10日.txt	9	9	我五十几看到美女，还动手；可是六十几看到美女，我只动心而已。	李敖幽默语	李敖	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-005	李敖发电集	009.1999年12月13日.txt	9	9	自然最怕虚空	外国哲学格言	莱布尼兹语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-006	李敖发电集	012.1999年12月16日.txt	31	31	水深波浪阔，无使狡龙得	唐诗句	杜甫《梦李白》诗句	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-007	李敖发电集	012.1999年12月16日.txt	37	37	真的假不了，假的真不了	俗语格言	警总问案口头禅，李敖称为十字真言	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-008	李敖发电集	014.1999年12月20日.txt	27	27	大梦谁先觉	古典诗文成句	古典成句	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-009	李敖发电集	014.1999年12月20日.txt	27	27	大梦即先觉	李敖改句	李敖改“大梦谁先觉”	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-010	李敖发电集	016.1999年12月22日.txt	49	49	近水楼台先得月	传统成语	传统成语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-011	李敖发电集	017.1999年12月23日.txt	37	37	宁为玉碎，不为瓦全	传统成语	传统成语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-012	李敖发电集	018.1999年12月24日.txt	43	43	恰似我的温柔	李敖化用歌句	李敖化用《恰似你的温柔》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-013	李敖发电集	019.1999年12月27日.txt	19	19	长袖善舞、多财善贾	古典成语	《韩非子》成语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-014	李敖发电集	019.1999年12月27日.txt	31	31	上山打虎亲兄弟	传统俗语	传统俗语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-015	李敖发电集	020.1999年12月28日.txt	29	29	福地福人居	传统俗语	传统俗语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-016	李敖发电集	023.1999年12月31日.txt	67	67	虽千万人，吾往矣	儒家名句	《孟子》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-017	李敖发电集	026.2000年1月5日.txt	31	31	出污泥而不染，濯清涟而不妖	古文名句	周敦颐《爱莲说》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-018	李敖发电集	026.2000年1月5日.txt	35	35	你错了，命是可以制造的，你从此去修桥、造路、施粥、关心穷人，做一些好事，就能改变你的命运，不妨试试看	命运格言	袁了凡故事中的老和尚语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-019	李敖发电集	026.2000年1月5日.txt	39	39	死生有命，富贵在天	儒家名句	《论语》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-020	李敖发电集	026.2000年1月5日.txt	39	39	舜何人也，予何人也，有为者亦若是	儒家名句	《孟子》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-021	李敖发电集	026.2000年1月5日.txt	39	39	君子不立于岩墙之下	儒家名句	《孟子》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-022	李敖发电集	027.2000年1月6日.txt	59	59	我是个处女，可是对它并不‘执迷’。	外国漫画台词	《骑士》杂志漫画台词	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：原文明确标为漫画中人物台词，属于非政治幽默文句。
LAFAD-023	李敖发电集	027.2000年1月6日.txt	61	61	欲望的满足会降低爱情的强度	爱情格言	寇乃馨语，李敖转述	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-024	李敖发电集	027.2000年1月6日.txt	61	61	爱她，就是为她憋着	爱情格言	寇乃馨语，李敖概括	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-025	李敖发电集	027.2000年1月6日.txt	61	61	没有肉，哪有灵？没有欲，哪有情？	李敖爱情格言	李敖	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-026	李敖发电集	028.2000年1月7日.txt	39	39	哀莫大于心死	古典成句	《庄子》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-027	李敖发电集	031.2000年1月12日.txt	37	37	给魔鬼该给他的	西方谚语	西方谚语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。 校对补入：句子本体为通用谚语，未收所在段落的现代政治评论。
LAFAD-028	李敖发电集	031.2000年1月12日.txt	45	45	杀君马者，道旁儿。	古典成句	中国古话	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-029	李敖发电集	033.2000年1月14日.txt	5	5	天祥性豪奢，声妓满前	史传文句	《宋史·文天祥传》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-030	李敖发电集	033.2000年1月14日.txt	11	11	悠悠我心悲，苍天曷有极，哲人日已远，典型在夙昔	古典诗句	文天祥《正气歌》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-031	李敖发电集	033.2000年1月14日.txt	15	15	不爱那么多，只爱一点点	李敖爱情格言	李敖	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-032	李敖发电集	033.2000年1月14日.txt	23	23	没有欲哪有情，没有肉哪有灵	李敖爱情格言	李敖	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-033	李敖发电集	033.2000年1月14日.txt	39	39	两个口袋空的人，腰挺不直	外国人生格言	富兰克林语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-034	李敖发电集	033.2000年1月14日.txt	47	47	不是花园在你家里，是你家在花园里	李敖广告文句	李敖	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-035	李敖发电集	033.2000年1月14日.txt	47	47	春风又绿江南岸	宋诗名句	王安石诗句	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-036	李敖发电集	033.2000年1月14日.txt	47	47	莫等闲白了少年头	宋词名句	岳飞《满江红》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-037	李敖发电集	036.2000年1月19日.txt	17	17	我不恨你对我说谎话，可是我恨你对我说粗糙的谎话	外国格言	英国巴克洛语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-038	李敖发电集	037.2000年1月20日.txt	11	11	去此一步，即无死所	传统成句	传统成句	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-039	李敖发电集	038.2000年1月21日.txt	35	35	刘胜位为大夫，见礼上宾，而知善不荐，闻恶不言，隐情惜己，自同寒蝉，此罪人也。	史传文句	《后汉书·杜密传》	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-040	李敖发电集	038.2000年1月21日.txt	35	35	噤若寒蝉	传统成语	《后汉书·杜密传》典故成语	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-041	李敖发电集	042.2000年1月27日.txt	35	35	而今已不如昔，后定不如今	传统警句	传统警句	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
LAFAD-042	李敖发电集	043.2000年1月28日.txt	15	15	君子爱人以德，小人爱人以姑息	儒家格言	曾子易席故事	yes		首轮保守收入：本书现代政论密度极高，现代政党人物语录、选举口号、两岸/外交判断、新闻标题、政论断语和纯宣传/攻讦语不收；只取句子本体可独立成立的诗文、古典文句、成语俗谚、文学格言、幽默文句和李敖非政治文句。
